iter	Passed	Remaining
655	4482	9184
656	4488	9174
657	4493	9165
658	4500	9157
659	4506	9149
660	4512	9140
661	4518	9131
662	4523	9122
663	4529	9113
664	4535	9105
665	4541	9097
666	4547	9088
667	4554	9081
668	4560	9072
669	4566	9064
670	4574	9059
671	4580	9051
672	4585	9041
673	4591	9032
674	4597	9023
675	4603	9015
676	4608	9006
677	4614	8998
678	4621	8990
679	4627	8982
680	4633	8974
681	4639	8967
682	4645	8958
683	4652	8950
684	4658	8942
685	4664	8934
686	4671	8927
687	4677	8919
688	4683	8910
689	4688	8901
690	4695	8894
691	4701	8887
692	4708	8880
693	4715	8873
694	4722	8868
695	4729	8861
696	4735	8853
697	4742	8846
698	4748	8838
699	4754	8830
700	4760	8822
701	4766	8813
702	4772	8805
703	4778	8797
704	4784	8789
705	4791	8781
706	4796	8772
707	4803	8765
708	4809	8756
709	4815	8748
710	4821	8741
711	4827	8733
712	4833	8724
713	4838	8715
714	4845	8707
715	4851	8699
716	4858	8693
717	4864	8685
718	4870	8677
719	4878	8672
720	4885	8665
721	4892	8659
722	4898	8652
723	4904	8644
724	4910	8636
725	4916	8627
726	4922	8618
727	4928	8610
728	4934	8602
729	4940	8595
730	4946	8587
731	4952	8578
732	4958	8571
733	4964	8563
734	4972	8558
735	4980	8553
736	4986	8545
737	4991	8536
738	4997	8528
739	5003	8520
740	5009	8512
741	5016	8504
742	5022	8497
743	5028	8489
744	5035	8481
745	5041	8474
746	5047	8466
747	5053	8458
748	5059	8449
749	5064	8441
750	5070	8432
751	5076	8425
752	5082	8417
753	5089	8409
754	5095	8402
755	5101	8393
756	5107	8386
757	5114	8379
758	5120	8372
759	5126	8364
760	5133	8358
761	5139	8350
762	5146	8343
763	5152	8335
764	5158	8327
765	5164	8319
766	5170	8311
767	5176	8304
768	5182	8295
769	5187	8286
770	5193	8279
771	5199	8271
772	5206	8263
773	5212	8255
774	5217	8247
775	5223	8239
776	5229	8231
777	5236	8224
778	5242	8217
779	5248	8209
780	5254	8201
781	5260	8193
782	5266	8185
783	5273	8178
784	5279	8171
785	5285	8163
786	5292	8156
787	5298	8149
788	5304	8141
789	5310	8133
790	5316	8125
791	5322	8118
792	5328	8110
793	5334	8103
794	5341	8095
795	5347	8088
796	5353	8080
797	5359	8072
798	5366	8066
799	5373	8059
800	5379	8053
801	5386	8046
802	5392	8038
803	5398	8030
804	5404	8022
805	5410	8014
806	5415	8006
807	5421	7998
808	5427	7990
809	5434	7983
810	5440	7976
811	5446	7968
812	5452	7961
813	5458	7953
814	5464	7945
815	5470	7938
816	5476	7930
817	5482	7922
818	5487	7913
819	5494	7906
820	5500	7898
821	5506	7890
822	5512	7883
823	5518	7875
824	5524	7867
825	5530	7860
826	5536	7852
827	5542	7845
828	5549	7838
829	5555	7831
830	5561	7824
831	5567	7815
832	5573	7807
833	5580	7801
834	5588	7797
835	5595	7791
836	5602	7784
837	5609	7777
838	5615	7770
839	5621	7762
840	5627	7755
841	5633	7747
842	5639	7740
843	5645	7732
844	5651	7724
845	5656	7716
846	5662	7708
847	5668	7701
848	5674	7693
849	5681	7686
850	5687	7679
851	5693	7671
852	5698	7663
853	5704	7654
854	5710	7647
855	5716	7640
856	5722	7632
857	5729	7626
858	5735	7618
859	5741	7610
860	5749	7605
861	5756	7599
862	5763	7593
863	5770	7587
864	5777	7580
865	5783	7573
866	5790	7566
867	5796	7559
868	5802	7552
869	5809	7546
870	5816	7539
871	5822	7531
872	5828	7524
873	5835	7517
874	5841	7510
875	5847	7502
876	5852	7494
877	5858	7486
878	5864	7478
879	5870	7471
880	5877	7464
881	5883	7457
882	5889	7449
883	5895	7442
884	5901	7435
885	5908	7429
886	5915	7423
887	5922	7416
888	5929	7410
889	5935	7402
890	5941	7395
891	5947	7388
892	5953	7379
893	5959	7372
894	5965	7365
895	5971	7357
896	5978	7351
897	5984	7343
898	5989	7335
899	5995	7328
900	6001	7320
901	6007	7313
902	6013	7305
903	6020	7298
904	6026	7291
905	6032	7284
906	6038	7276
907	6044	7269
908	6050	7262
909	6057	7255
910	6064	7249
911	6069	7241
912	6075	7233
913	6081	7226
914	6087	7218
915	6094	7211
916	6100	7204
917	6106	7197
918	6112	7189
919	6117	7181
920	6123	7173
921	6129	7166
922	6136	7159
923	6142	7153
924	6148	7145
925	6154	7138
926	6161	7131
927	6167	7124
928	6173	7117
929	6179	7109
930	6185	7101
931	6190	7094
932	6196	7086
933	6202	7079
934	6208	7072
935	6214	7064
936	6221	7058
937	6227	7051
938	6234	7044
939	6241	7038
940	6247	7030
