iter	Passed	Remaining
546	22751	18841
547	22799	18805
548	22848	18769
549	22899	18736
550	22949	18701
551	22992	18660
552	23037	18621
553	23086	18585
554	23138	18552
555	23179	18509
556	23227	18473
557	23278	18439
558	23330	18405
559	23380	18370
560	23420	18326
561	23466	18288
562	23511	18249
563	23564	18216
564	23612	18179
565	23658	18141
566	23711	18108
567	23761	18072
568	23811	18036
569	23871	18008
570	23918	17970
571	23969	17935
572	24018	17898
573	24080	17871
574	24131	17836
575	24181	17800
576	24230	17763
577	24279	17726
578	24326	17688
579	24381	17655
580	24432	17619
581	24479	17581
582	24526	17543
583	24576	17506
584	24623	17467
585	24676	17433
586	24722	17394
587	24768	17354
588	24815	17315
589	24864	17278
590	24913	17241
591	24967	17207
592	25016	17169
593	25069	17134
594	25120	17098
595	25168	17060
596	25217	17022
597	25263	16983
598	25313	16946
599	25362	16908
600	25411	16870
601	25461	16833
602	25511	16796
603	25561	16758
604	25606	16718
605	25655	16680
606	25704	16642
607	25754	16604
608	25807	16569
609	25855	16530
610	25902	16491
611	25954	16454
612	25996	16411
613	26045	16373
614	26095	16336
615	26156	16305
616	26210	16270
617	26275	16241
618	26329	16205
619	26376	16166
620	26419	16124
621	26462	16081
622	26517	16046
623	26582	16017
624	26636	15981
625	26682	15941
626	26724	15898
627	26772	15859
628	26817	15817
629	26870	15781
630	26923	15744
631	26970	15704
632	27020	15665
633	27069	15627
634	27110	15583
635	27163	15546
636	27208	15504
637	27257	15465
638	27301	15423
639	27344	15381
640	27394	15342
641	27440	15301
642	27488	15261
643	27538	15223
644	27584	15181
645	27629	15140
646	27679	15101
647	27747	15072
648	27799	15034
649	27850	14996
650	27894	14954
651	27939	14912
652	27996	14877
653	28050	14840
654	28101	14801
655	28152	14762
656	28203	14724
657	28252	14684
658	28309	14648
659	28357	14608
660	28408	14569
661	28466	14534
662	28520	14496
663	28569	14456
664	28618	14416
665	28663	14374
666	28712	14334
667	28757	14292
668	28804	14251
669	28852	14211
670	28902	14171
671	28955	14133
672	29003	14092
673	29051	14051
674	29098	14010
675	29150	13971
676	29199	13931
677	29246	13890
678	29294	13848
679	29339	13806
680	29389	13766
681	29435	13725
682	29484	13684
683	29533	13643
684	29575	13600
685	29622	13558
686	29671	13518
687	29717	13476
688	29765	13435
689	29813	13394
690	29864	13354
691	29912	13313
692	29964	13274
693	30014	13234
694	30063	13193
695	30112	13152
696	30165	13113
697	30214	13072
698	30261	13030
699	30308	12989
700	30359	12949
701	30409	12908
702	30458	12867
703	30504	12825
704	30551	12783
705	30599	12742
706	30648	12701
707	30694	12659
708	30739	12616
709	30790	12576
710	30838	12534
711	30883	12492
712	30930	12450
713	30980	12409
714	31026	12367
715	31067	12322
716	31116	12281
717	31165	12240
718	31212	12198
719	31261	12157
720	31304	12113
721	31352	12071
722	31399	12029
723	31441	11985
724	31488	11943
725	31529	11899
726	31576	11857
727	31628	11817
728	31675	11775
729	31719	11731
730	31767	11689
731	31808	11645
732	31857	11604
733	31898	11560
734	31951	11519
735	32059	11499
736	32146	11471
737	32216	11437
738	32266	11396
739	32334	11360
740	32386	11320
741	32442	11280
742	32509	11244
743	32587	11212
744	32645	11174
745	32697	11132
746	32743	11089
747	32793	11048
748	32842	11006
749	32882	10960
750	32930	10918
751	32984	10877
752	33055	10843
753	33110	10802
754	33172	10764
755	33220	10721
756	33268	10679
757	33324	10639
758	33373	10596
759	33418	10553
760	33463	10509
761	33510	10466
762	33555	10422
763	33601	10379
764	33650	10337
765	33699	10294
766	33745	10251
767	33796	10209
768	33842	10165
769	33892	10123
770	33943	10081
771	33989	10038
772	34030	9993
773	34078	9950
774	34129	9908
775	34180	9866
776	34225	9822
777	34272	9779
778	34316	9735
779	34360	9691
780	34409	9648
781	34459	9606
782	34506	9563
783	34558	9521
784	34602	9477
785	34653	9434
786	34700	9391
787	34749	9348
788	34799	9306
789	34849	9263
790	34893	9219
791	34940	9176
792	34982	9131
793	35036	9090
794	35087	9047
795	35134	9004
796	35177	8959
797	35221	8915
798	35267	8871
799	35314	8828
800	35365	8786
801	35409	8742
802	35456	8698
803	35507	8656
804	35553	8612
805	35601	8568
806	35649	8525
807	35697	8482
808	35741	8438
809	35790	8395
810	35838	8352
811	35889	8309
812	35934	8265
813	35985	8222
814	36032	8179
815	36078	8135
816	36126	8092
817	36174	8048
818	36222	8005
819	36267	7961
820	36310	7916
821	36355	7872
822	36402	7828
823	36443	7783
824	36489	7740
825	36536	7696
826	36584	7653
827	36631	7609
828	36674	7564
829	36725	7522
830	36774	7478
831	36824	7435
832	36872	7392
833	36923	7349
834	36966	7304
835	37011	7260
836	37058	7216
837	37104	7172
838	37149	7128
839	37199	7085
840	37250	7042
841	37293	6998
842	37342	6954
843	37400	6912
844	37451	6869
845	37498	6826
846	37545	6782
847	37595	6738
848	37645	6695
849	37687	6650
850	37736	6607
851	37784	6563
852	37836	6520
853	37884	6476
854	37930	6432
855	37975	6388
856	38024	6344
857	38066	6300
858	38110	6255
859	38156	6211
860	38204	6167
861	38248	6123
862	38288	6078
863	38331	6033
864	38376	5989
865	38421	5945
866	38468	5901
867	38513	5856
868	38553	5811
869	38598	5767
870	38643	5723
871	38685	5678
872	38730	5634
873	38773	5589
874	38822	5546
875	38867	5501
876	38908	5457
877	38957	5413
878	39004	5369
879	39049	5324
880	39091	5280
881	39134	5235
882	39182	5191
883	39225	5147
884	39271	5103
885	39314	5058
886	39365	5014
887	39411	4970
888	39456	4926
889	39498	4881
890	39546	4837
891	39588	4793
892	39630	4748
893	39673	4704
894	39721	4660
895	39764	4615
896	39808	4571
897	39856	4527
898	39911	4483
899	39959	4439
900	40008	4396
901	40053	4351
902	40104	4307
903	40155	4264
904	40205	4220
905	40258	4176
906	40307	4132
907	40351	4088
908	40402	4044
909	40455	4001
910	40504	3957
911	40556	3913
912	40606	3869
913	40647	3824
914	40695	3780
915	40746	3736
916	40797	3692
917	40838	3647
918	40886	3603
919	40935	3559
920	40990	3516
921	41036	3471
922	41092	3428
923	41139	3383
924	41191	3339
925	41233	3295
926	41288	3251
927	41332	3206
928	41385	3162
929	41433	3118
930	41485	3074
931	41528	3029
932	41575	2985
933	41617	2940
934	41662	2896
935	41710	2851
936	41759	2807
937	41805	2763
938	41845	2718
939	41890	2673
940	41933	2629
941	41977	2584
942	42021	2540
943	42072	2495
944	42119	2451
945	42164	2406
946	42208	2362
947	42254	2317
948	42306	2273
949	42347	2228
950	42392	2184
951	42437	2139
952	42480	2095
953	42527	2050
954	42568	2005
955	42611	1961
956	42659	1916
957	42706	1872
958	42747	1827
959	42793	1783
960	42838	1738
961	42883	1693
962	42929	1649
963	42974	1604
964	43017	1560
965	43060	1515
966	43102	1470
967	43145	1426
968	43188	1381
969	43230	1337
970	43271	1292
971	43316	1247
972	43361	1203
973	43403	1158
974	43444	1113
975	43486	1069
976	43532	1024
977	43577	980
978	43621	935
979	43664	891
980	43705	846
981	43750	801
982	43792	757
983	43835	712
984	43876	668
985	43919	623
986	43963	579
987	44004	534
988	44045	489
989	44090	445
990	44135	400
991	44178	356
992	44222	311
993	44262	267
994	44305	222
995	44349	178
996	44393	133
997	44434	89
998	44475	44
999	44516	0
